LEY DE REPARACIÓN, LEY Nº19.992 (VALECH);;;;;;;;;;;
 Noviembre 2023;;;;;;;;;;;
(Número y Monto en miles de $);;;;;;;;;;;
;;;;;;;;;;;
Región;Cód. Comuna;Glosa Comuna; Nº Hombre; Mto.Hombre;Nº Mujer; Mto.Mujer; Nº; Monto m$;;;
13;13302;LAMPA;15;3.842;2;542;17;4.384;;;
13;13303;TILTIL;2;542;3;624;5;1.166;;;
13;13401;SAN BERNARDO;301;77.850;128;29.328;429;107.178;;;
13;13402;BUIN;94;24.691;51;11.525;145;36.217;;;
13;13403;CALERA DE TANGO;1;242;0;0;1;242;;;
13;13404;PAINE;18;4.634;9;1.902;27;6.536;;;
13;13501;MELIPILLA;91;24.266;48;10.278;139;34.544;;;
13;13502;ALHUE;1;265;1;212;2;477;;;
13;13503;CURACAVI;49;12.962;14;2.942;63;15.904;;;
13;13504;MARIA PINTO;2;555;1;212;3;767;;;
13;13505;SAN PEDRO;0;0;0;0;0;0;;;
13;13601;TALAGANTE;57;15.009;25;5.831;82;20.840;;;
13;13602;EL MONTE;4;1.004;4;866;8;1.870;;;
13;13603;ISLA DE MAIPO;1;277;2;381;3;658;;;
13;13604;PADRE HURTADO;12;3.140;2;520;14;3.659;;;
13;13605;PEÑAFLOR;30;7.902;20;4.654;50;12.556;;;
Total;;;15.600;4.062.998;7.713;1.756.593;23.313;5.819.591;;;
